seed_id,view,image,label
0,top,train/00000.png,broken
1,bottom,train/00001.png,pure
3,top,train/00003.png,broken
4,top,train/00004.png,pure
5,top,train/00005.png,discolored
6,top,train/00006.png,pure
7,bottom,train/00007.png,discolored
8,bottom,train/00008.png,broken
9,bottom,train/00009.png,discolored
10,bottom,train/00010.png,broken
12,bottom,train/00012.png,broken
14,bottom,train/00014.png,silkcut
15,bottom,train/00015.png,pure
16,top,train/00016.png,broken
17,bottom,train/00017.png,pure
18,top,train/00018.png,discolored
20,top,train/00020.png,broken
21,bottom,train/00021.png,pure
22,top,train/00022.png,broken
23,top,train/00023.png,pure
24,top,train/00024.png,broken
25,top,train/00025.png,broken
26,bottom,train/00026.png,broken
28,top,train/00028.png,broken
29,top,train/00029.png,pure
31,bottom,train/00031.png,broken
33,top,train/00033.png,pure
34,bottom,train/00034.png,pure
35,top,train/00035.png,pure
36,bottom,train/00036.png,pure
37,bottom,train/00037.png,broken
38,top,train/00038.png,pure
39,bottom,train/00039.png,broken
40,top,train/00040.png,broken
46,top,train/00046.png,broken
47,bottom,train/00047.png,silkcut
48,top,train/00048.png,discolored
49,bottom,train/00049.png,broken
50,top,train/00050.png,broken
51,bottom,train/00051.png,broken
52,bottom,train/00052.png,pure
54,bottom,train/00054.png,broken
55,top,train/00055.png,pure
56,bottom,train/00056.png,broken
58,top,train/00058.png,pure
59,top,train/00059.png,broken
60,bottom,train/00060.png,silkcut
61,top,train/00061.png,pure
62,bottom,train/00062.png,pure
63,top,train/00063.png,broken
64,top,train/00064.png,discolored
65,bottom,train/00065.png,broken
66,bottom,train/00066.png,discolored
67,bottom,train/00067.png,discolored
68,top,train/00068.png,broken
69,bottom,train/00069.png,silkcut
70,bottom,train/00070.png,discolored
71,top,train/00071.png,broken
72,top,train/00072.png,discolored
73,bottom,train/00073.png,silkcut
76,bottom,train/00076.png,silkcut
77,top,train/00077.png,broken
78,top,train/00078.png,discolored
80,bottom,train/00080.png,broken
81,top,train/00081.png,broken
82,top,train/00082.png,broken
83,top,train/00083.png,silkcut
84,top,train/00084.png,broken
85,bottom,train/00085.png,silkcut
86,bottom,train/00086.png,pure
88,bottom,train/00088.png,broken
89,bottom,train/00089.png,discolored
91,top,train/00091.png,pure
94,bottom,train/00094.png,broken
95,bottom,train/00095.png,broken
96,bottom,train/00096.png,broken
97,top,train/00097.png,pure
98,bottom,train/00098.png,discolored
99,bottom,train/00099.png,broken
100,top,train/00100.png,broken
102,top,train/00102.png,broken
